timestamp,image_filename,image_path,model,inspection_name,result,score,overall_result,result_image_id
2026-05-16 17:48:57,Image_20260512180801274.bmp,e:\99IS\B1F2\image\B1F2\image_set1\Image_20260512180801274.bmp,CV5VS_MODEL,Filter Drier,PASS,0.9230,PASS,20260516_174857_Image_20260512180801274
2026-05-16 17:48:57,Image_20260512180801274.bmp,e:\99IS\B1F2\image\B1F2\image_set1\Image_20260512180801274.bmp,CV5VS_MODEL,Hot Gas Valve,PASS,0.6040,PASS,20260516_174857_Image_20260512180801274
2026-05-16 17:48:57,Image_20260512180801274.bmp,e:\99IS\B1F2\image\B1F2\image_set1\Image_20260512180801274.bmp,CV5VS_MODEL,Expansion Valve,PASS,0.9602,PASS,20260516_174857_Image_20260512180801274
2026-05-16 17:48:57,Image_20260512180801274.bmp,e:\99IS\B1F2\image\B1F2\image_set1\Image_20260512180801274.bmp,CV5VS_MODEL,High Pressure Sensor,PASS,0.7820,PASS,20260516_174857_Image_20260512180801274
2026-05-16 17:48:57,Image_20260512180801274.bmp,e:\99IS\B1F2\image\B1F2\image_set1\Image_20260512180801274.bmp,CV5VS_MODEL,Common-Start-Run,PASS,0.7284,PASS,20260516_174857_Image_20260512180801274
2026-05-16 17:48:57,Image_20260512180801274.bmp,e:\99IS\B1F2\image\B1F2\image_set1\Image_20260512180801274.bmp,CV5VS_MODEL,Check Valve,PASS,0.7328,PASS,20260516_174857_Image_20260512180801274
2026-05-16 17:48:57,Image_20260512180801274.bmp,e:\99IS\B1F2\image\B1F2\image_set1\Image_20260512180801274.bmp,CV5VS_MODEL,Bolt & Washer,PASS,0.8245,PASS,20260516_174857_Image_20260512180801274
2026-05-16 17:48:57,Image_20260512180801274.bmp,e:\99IS\B1F2\image\B1F2\image_set1\Image_20260512180801274.bmp,CV5VS_MODEL,Bolt & Washer,PASS,0.8829,PASS,20260516_174857_Image_20260512180801274
